calling,calories,heart_monitor,image,period_tracking,price,rating,sleep_tracking,step_counter,title,waterproof,amoled,bluetooth,sports_modes,touchscreen,brand,display_size,battery_days
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/u/q/h/-original-imagx8nhjwxfayhj.jpeg?q=70,0,1499,1.3,0,0,fastrack revoltt xr1-1.38|bt calling|fast charge|100+ s...,0,0,0,0,0,4,1.8,7
1,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/v/c/-original-imahayjz4kqhhqqw.jpeg?q=70,0,1499,1.9,0,0,"noise pulse 3 1.96'' display, bt calling, 100 sports mo...",0,0,0,1,0,1,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/l/e/-original-imahjkzua9ygsyye.jpeg?q=70,0,1099,5.3,0,0,fire-boltt nnja talk 35.3mm (1.39) round bluetooth call...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/f/1/-original-imah5upfxwz3zfmt.jpeg?q=70,0,1499,3.5,0,0,"boat lunar discovery w/ turn by turn navigation, 3.53 c...",0,0,0,0,0,2,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/y/y/o/-original-imahf8hrqmjd7q3u.jpeg?q=70,0,1499,1.3,0,0,"boat lunar discovery pro, 1.39""display, premium metal b...",0,0,0,0,0,2,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/s/l/-original-imah28zpwdrzj7cm.jpeg?q=70,0,1699,1.3,0,0,fire-boltt brillia 51.3mm (2.02 inch) largest amoled di...,0,1,0,0,0,3,51.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/b/7/-original-imahgqzbwtfffbhv.jpeg?q=70,0,1499,1.9,0,0,"goboult tuff rivet 1.9'' hd display, working crown , qu...",0,0,0,0,0,0,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/j/8/-original-imahf8hr4dzh9hvp.jpeg?q=70,0,1699,1.3,0,0,"boat lunar discovery pro, 1.39""display, premium metal b...",0,0,0,0,0,2,1.8,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/8/j/-original-imahjkzuegrbvmq3.jpeg?q=70,0,1399,5.3,0,0,fire-boltt ninja talk 35.3mm (1.39) round bluetooth cal...,0,0,1,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/w/-original-imah7yt58tww5pe8.jpeg?q=70,0,1199,5.3,0,0,fire-boltt talk ultra 35.3mm (1.39) round color hd disp...,0,0,0,0,0,3,35.3,7
0,0,0,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/u/e/-original-imahdq39rhcggwzw.jpeg?q=70,0,2499,1.9,0,0,"noise icon 5 with ai watch faces, ai search, 1.95"" amol...",0,0,0,0,0,1,1.8,7
